"Time [ms]","InducedVoltage(PhaseA) [V]"
62.6000000000084,121.443552583619
62.6100000000084,120.376636491507
62.6200000000084,119.289895765362
62.6300000000084,118.236306788427
62.6400000000084,117.241372049676
62.6500000000084,116.308468676879
62.6600000000084,115.162456813547
62.6700000000084,113.79355681895
62.6800000000084,112.461669208344
62.6900000000084,111.331245627933
62.7000000000084,110.667612219414
62.7100000000084,110.764376725098
62.7200000000084,109.611505307783
62.7300000000084,108.425953282776
62.7400000000084,107.296073007049
62.7500000000084,106.392529955263
62.7600000000084,105.829941914626
62.7700000000084,105.066188674841
62.7800000000084,104.142365716961
62.7900000000084,103.132531154135
62.8000000000083,102.119173683216
62.8100000000083,101.168718578593
62.8200000000083,100.286868588631
62.8300000000083,99.4248228561117
62.8400000000083,98.5875787048757
62.8500000000083,97.8069453564184
62.8600000000083,96.8878638438114
62.8700000000083,95.6552297108837
62.8800000000083,94.4026307578144
62.8900000000083,93.2591420026274
62.9000000000083,92.6551094913269
62.9100000000083,92.507677703002
62.9200000000083,91.3721186803884
62.9300000000083,90.1639092985046
62.9400000000083,89.0970095976024
62.9500000000083,88.3717676648854
62.9600000000083,87.9872159598033
62.9700000000083,87.4008966115558
62.9800000000083,86.7333079123123
62.9900000000083,85.9915488632679
63.0000000000083,85.1558608567893
63.0100000000083,84.3484729132204
63.0200000000083,83.6651891897799
63.0300000000083,82.9660181113384
63.0400000000083,82.2683833060084
63.0500000000083,81.5000239819313
63.0600000000082,80.5794770828844
63.0700000000082,79.7115728873532
63.0800000000082,78.8820768691384
63.0900000000082,78.11161975457
63.1000000000082,77.661818695901
63.1100000000082,77.159911226865
63.1200000000082,76.2568929353974
63.1300000000082,75.3470595377004
63.1400000000082,74.4835152665435
63.1500000000082,73.7178606396632
63.1600000000082,73.0459607113765
63.1700000000082,72.3547279296494
63.1800000000082,71.6075617290507
63.1900000000082,70.8536143811722
63.2000000000082,70.0478577567165
63.2100000000082,69.2744427820913
63.2200000000082,68.5454579111483
63.2300000000082,67.8370133334744
63.2400000000082,67.0897834333689
63.2500000000082,66.3888930030776
63.2600000000082,65.6326119369083
63.2700000000082,64.7717467882142
63.2800000000082,63.9416394300069
63.2900000000082,63.1871508592646
63.3000000000082,62.734858397312
63.3100000000082,62.0701883661284
63.3200000000081,61.3142599106747
63.3300000000081,60.6452865052259
63.3400000000081,60.0904737184216
63.3500000000081,59.6977967289913
63.3600000000081,59.2173336327551
63.3700000000081,58.6377915011482
63.3800000000081,58.006802589261
63.3900000000081,57.3276197287864
63.4000000000081,56.5940516195962
63.4100000000081,55.8721754063074
63.4200000000081,55.1553861199261
63.4300000000081,54.5166973684341
63.4400000000081,54.1118569880539
63.4500000000081,53.696457476371
63.4600000000081,53.2998946432495
63.4700000000081,52.7498135598492
63.4800000000081,52.117781159261
63.4900000000081,51.283867270685
63.5000000000081,51.1182344432703
63.5100000000081,50.4472887608354
63.5200000000081,49.5628760264988
63.5300000000081,48.6517365837213
63.5400000000081,47.7253392149157
63.5500000000081,46.6831709218074
63.5600000000081,45.837723744141
63.5700000000081,45.1102713573404
63.580000000008,44.3699092037564
63.590000000008,43.5535239488971
63.600000000008,42.6644523974284
63.610000000008,41.7921786683872
63.620000000008,41.0015116090123
63.630000000008,40.275921206695
63.640000000008,39.5707248315669
63.650000000008,38.7105393608755
63.660000000008,37.7795268587056
63.670000000008,36.810864322967
63.680000000008,35.8479646478727
63.690000000008,34.9227918906902
63.700000000008,34.8978747827411
63.710000000008,33.8896532839084
63.720000000008,32.8787257502294
63.730000000008,31.9747779369273
63.740000000008,31.2131087887579
63.750000000008,30.4276422843142
63.760000000008,29.7467423063469
63.770000000008,29.1041819076299
63.780000000008,28.44643904375
63.790000000008,27.757113158311
63.800000000008,26.8392920499627
63.810000000008,26.1842765989395
63.820000000008,25.594182144717
63.830000000008,25.0260559367943
63.8400000000079,24.3957916904902
63.8500000000079,23.5697860740625
63.8600000000079,22.8104542956797
63.8700000000079,22.0079092237535
63.8800000000079,21.2142718115593
63.8900000000079,20.5640374106475
63.9000000000079,20.8016274380773
63.9100000000079,19.9533267563279
63.9200000000079,19.0840697651906
63.9300000000079,18.2042691584894
63.9400000000079,17.3335180620182
63.9500000000079,16.5161412199022
63.9600000000079,16.0029535704376
63.9700000000079,15.5904112184579
63.9800000000079,15.2220281482041
63.9900000000079,14.7991792191438
64.0000000000079,14.1762402769141
64.0100000000079,13.5609322724606
64.0200000000079,12.9488435662184
64.0300000000079,12.3459124575787
64.0400000000079,11.771525308657
64.0500000000079,11.1242889512975
64.0600000000079,10.4221275177618
64.0700000000079,9.67151884229134
64.0800000000079,8.85741581817534
64.0900000000078,8.17327002174961
64.1000000000078,7.78073592315742
64.1100000000078,6.99431956057706
64.1200000000078,6.29346859263302
64.1300000000078,5.6726854976763
64.1400000000078,5.01383050096615
64.1500000000078,4.17735955645093
64.1600000000078,3.5098619231011
64.1700000000078,2.89944308420331
64.1800000000078,2.24726538921582
64.1900000000078,1.52236796073235
