"Time [ms]","InducedVoltage(M1PhA) [V]","InducedVoltage(M1PhB) [V]","InducedVoltage(M1PhC) [V]"
30.5500000000004,26.5991794174691,-99.4771795004606,74.781390092292
30.6000000000004,29.7206308364528,-100.296846851805,72.4144053725875
30.6500000000004,32.8756075538295,-101.208153902751,69.979218231582
30.7000000000004,35.9677254203888,-101.966478270321,67.5362106046512
30.7500000000004,39.0866318990435,-102.627752695172,65.0301600551789
30.8000000000004,41.9802706312994,-103.100408954478,62.504687513748
30.8500000000004,44.96680014209,-103.479019508982,59.8046200960128
30.9000000000004,47.7887246742825,-103.61716824812,57.0996217365388
30.9500000000004,50.6359108960769,-103.605328724813,54.2933620934893
31.0000000000004,53.3808765605565,-103.673728816404,51.5592989604191
31.0500000000004,56.1724562311189,-103.672660035638,48.7520085161719
31.1000000000004,58.8784154773525,-103.574174241766,45.941780266755
31.1500000000004,61.5871522632799,-103.228510043037,43.0419938084781
31.2000000000004,64.1155923889181,-102.763991078775,40.0667844512731
31.2500000000004,66.6770438440351,-102.126336222551,37.0047866228845
31.3000000000004,69.1540179516256,-101.459923871867,33.9273900754278
31.3500000000004,71.6267548347804,-100.666430835167,30.7942135991257
31.4000000000004,73.9588610066169,-99.7789611694022,27.675108271043
31.4500000000004,76.2802198033818,-98.9756631783914,24.4947046095856
31.5000000000004,78.5271436288615,-98.1036540837606,21.2752476489092
31.5500000000004,80.661028303225,-97.0228923200223,17.9910037348757
31.6000000000004,82.6371471266707,-95.8846783607646,14.638472202636
31.6500000000004,84.6693716615049,-94.7290859954344,11.3151312213161
31.7000000000004,86.514122993058,-93.5076346807742,7.92215474095415
31.7500000000004,88.1132001069071,-92.1931320618949,4.48953561503318
31.8000000000004,89.6948709918152,-90.7005352228368,1.19988293472317
31.8500000000004,91.124139186656,-89.1566501025204,-2.27142095940935
31.9000000000004,92.5398911440234,-87.504417568518,-5.59317714897423
31.9500000000004,93.9443535318585,-85.8584779918678,-9.09806379531641
32.0000000000004,95.2036630394101,-84.0202780539798,-12.4121072835592
32.0500000000004,96.3579947649142,-82.052142084407,-15.7689526066285
32.1000000000004,97.4284365889247,-80.0134865657731,-19.0467010832029
32.1500000000004,98.4000335452043,-77.8128773945824,-22.3947254447082
32.2000000000004,99.1482188761758,-75.4968980589513,-25.5244272097671
32.2500000000004,99.9731331544898,-73.1058412458113,-28.7189421156631
32.3000000000004,100.986172518119,-70.7804727636055,-31.8478958549689
32.3500000000004,101.83151157021,-68.3331180634317,-35.0076907693797
32.4000000000004,102.421313015125,-65.8857713263961,-38.0283428362726
32.4500000000004,102.93831954619,-63.3100545844567,-41.0431650307008
32.5000000000004,103.314760903674,-60.6795672635518,-44.0009482969694
32.5500000000004,103.514006200626,-57.9043148840602,-46.8819328287395
32.6000000000004,103.687669485137,-55.2367191134134,-49.6829284903555
32.6500000000004,103.69694555707,-52.4760229780685,-52.5137690368677
32.7000000000004,103.71559623735,-49.7118725461171,-55.281880666942
32.7500000000004,103.63448136523,-46.8421497650939,-57.9907310330552
32.8000000000004,103.367238350566,-44.0094316762257,-60.6920468848132
32.8500000000004,102.861304084063,-41.0437294697885,-63.2866157034628
32.9000000000004,102.315699508613,-38.0036490281077,-65.8560387700113
32.9500000000004,101.755070982754,-34.8944696142972,-68.4122374736815
33.0000000000004,101.012211005249,-31.847454347147,-70.8438220192864
33.0500000000004,100.084495894096,-28.7344211860568,-73.1974787254008
33.1000000000004,99.214236167468,-25.5680813079101,-75.5304790013791
33.1500000000004,98.4171444862485,-22.337502088518,-77.80449855805
33.2000000000004,97.3298981892982,-19.07553803983,-79.9355095637877
33.2500000000004,96.2854616653134,-15.7795019036899,-82.073619524122
33.3000000000004,95.172916989186,-12.455413603597,-84.0725782730592
33.3500000000004,94.0010200364785,-8.97417104372133,-85.9426904977725
33.4000000000004,92.6626012787279,-5.70095157811423,-87.6089094713417
33.4500000000004,91.1919053993834,-2.3051084306408,-89.150966763728
33.5000000000004,89.6132507450309,1.11298586863262,-90.6243904657378
33.5500000000004,88.0690471051485,4.55008865747009,-92.1184415480419
33.6000000000004,86.4753201243898,7.88961670589006,-93.562700647927
33.6500000000005,84.679011400878,11.2658271347321,-94.8442430202354
33.7000000000005,82.7707394741459,14.6432230684551,-95.9997467380486
33.7500000000005,80.7197837015419,17.994478004934,-97.0548473034637
33.8000000000005,78.5340525549907,21.2189721452849,-98.0479810093232
33.8500000000005,76.2451158904265,24.4275628128798,-98.9390013565027
33.9000000000005,73.9332513075439,27.657421402667,-99.7542644284827
33.9500000000005,71.5645196914941,30.861592806124,-100.72217967119
34.0000000000005,69.2128559737493,33.9209958019737,-101.596246524376
34.0500000000005,66.7549859856409,36.9650162208712,-102.231255517048
34.1000000000005,64.1597463545623,40.0248448019563,-102.745794625421
34.1500000000005,61.5094075372258,43.0299913867982,-103.127788652818
34.2000000000005,58.8468110231494,45.9114004571864,-103.525254234895
34.2500000000005,56.1922264371989,48.7543749488772,-103.742035298094
34.3000000000005,53.4193581302178,51.581033104291,-103.72998740764
34.3500000000005,50.6239815973802,54.3348275766131,-103.727354337352
34.4000000000005,47.8355038205103,57.0543837295528,-103.682207512212
34.4500000000005,44.9883484282998,59.7450998358751,-103.435099412406
