"Time [ms]","Moving1.Torque [NewtonMeter] - b='0.7'","Moving1.Torque [NewtonMeter] - b='0.72'","Moving1.Torque [NewtonMeter] - b='0.74'","Moving1.Torque [NewtonMeter] - b='0.76'","Moving1.Torque [NewtonMeter] - b='0.78'","Moving1.Torque [NewtonMeter] - b='0.8'","Moving1.Torque [NewtonMeter] - b='0.82'","Moving1.Torque [NewtonMeter] - b='0.84'","Moving1.Torque [NewtonMeter] - b='0.86'","Moving1.Torque [NewtonMeter] - b='0.88'","Moving1.Torque [NewtonMeter] - b='0.9'"
6.86999999999989,140.491205004487,144.635126101022,148.359041658653,151.662135515872,154.655657574783,157.589845931305,160.138726947015,162.428516001712,164.58829966291,166.439243815274,167.685319328319
6.87999999999989,139.979516346738,144.08761920773,147.798446445262,151.105226575307,154.096857335653,157.047213607532,159.601401251918,161.898551956925,164.046547642389,165.861200183408,167.104561224961
6.88999999999989,139.461360457087,143.537188962272,147.240654676011,150.554558083604,153.541882356528,156.509422838747,159.074165471215,161.378130312025,163.524828411647,165.349946048219,166.589477715096
6.89999999999989,138.921257452023,142.984290524706,146.678624643018,150.00834407675,152.994211248404,155.974901015578,158.554861213098,160.862529364414,163.015246843618,164.876134241876,166.111420495019
6.90999999999989,138.373122881049,142.431304080001,146.119792176085,149.46709911789,152.458416892946,155.450829873822,158.04697382243,160.35880198971,162.517154760777,164.402789074322,165.640571981379
6.91999999999989,137.86415227792,141.890030734938,145.579447190476,148.937439452394,151.934052237146,154.954066031367,157.554542909608,159.869660579823,162.032114190854,163.922724200477,165.148435522867
6.92999999999989,137.352896583818,141.356098338491,145.045194530948,148.417556478537,151.420879827537,154.460543390116,157.06185079433,159.391165007801,161.559853170788,163.45787345002,164.682405563282
6.93999999999989,136.838577937958,140.835217795929,144.514805214505,147.909084239536,150.921311270846,153.968634901426,156.58040565321,158.92452182875,161.102246475942,162.993625522724,164.233558402163
6.94999999999989,136.316066318607,140.323825057769,143.989376666259,147.410835507271,150.436644013881,153.481574683904,156.1096908421,158.471538836887,160.660319318265,162.518705659203,163.790664366333
6.95999999999988,135.802604995136,139.815298759367,143.477475468337,146.920722002889,149.964341857193,153.01239726342,155.656923812282,158.037563316223,160.23646202551,162.062059062332,163.367936985012
6.96999999999988,135.307929539393,139.333375222699,142.992808863326,146.440295008095,149.497389203752,152.553024260221,155.211371484365,157.609910059335,159.81985235704,161.61720265296,162.942974318167
6.97999999999988,134.831852079405,138.856918979433,142.519118593232,145.981266845899,149.039238653056,152.109220999203,154.778946648185,157.193451326273,159.414608671166,161.204868637006,162.539003567861
6.98999999999988,134.384491823702,138.395423934282,142.062940239987,145.529889060784,148.606463815904,151.694305537242,154.363382873112,156.791131979978,159.023142468325,160.863262115621,162.182425350733
6.99999999999988,133.987042485529,137.963784496104,141.633474925661,145.083632265661,148.178615668459,151.287517031373,153.964041739497,156.400429428485,158.63842051564,160.594061887085,161.869581510963
7.00999999999988,133.60683865794,137.546058823007,141.249005993098,144.631355320287,147.746018189786,150.87876685894,153.572018949947,156.00858359009,158.257745610352,160.398631932767,161.587218592882
7.01999999999988,133.202555465597,137.112264790518,140.85374733281,144.192344341807,147.331802637382,150.473267533824,153.188588343604,155.638587708291,157.897393599631,160.151097817058,161.299603424294
7.02999999999988,132.703677335536,136.641494102845,140.366122606769,143.78221153701,146.966938448457,150.109826319855,152.841331677404,155.308181523085,157.586090775529,159.645144680089,160.90125812275
7.03999999999988,132.212397811679,136.18221665552,139.903765166407,143.360138669285,146.5857831476,149.727190248303,152.479663427508,154.95823273569,157.252601456402,159.162355355242,160.506127861845
7.04999999999988,131.745395704978,135.739797314597,139.459007873054,142.930924280084,146.196215052711,149.341038151373,152.112072225904,154.599329549116,156.907728657582,158.74815686342,160.143952160583
7.05999999999988,131.317797707216,135.315462786676,139.044588843989,142.508727794956,145.811527790566,148.964187178709,151.751199779129,154.246268693165,156.569181118254,158.419222444302,159.839344842326
7.06999999999988,130.9213344456,134.907045251816,138.645950785852,142.107008499869,145.441924141838,148.605510864862,151.405788864647,153.9146439644,156.252086495464,158.165225331303,159.579698274537
7.07999999999988,130.540794695051,134.49621410381,138.249966340268,141.711453508038,145.077778434821,148.25565902703,151.064535672435,153.586773473498,155.936631169341,157.945820297225,159.349569183298
7.08999999999988,130.179565563266,134.102612363974,137.868708987775,141.330727579478,144.722891424487,147.919629184633,150.735676976826,153.27319897828,155.632048792348,157.765649769175,159.131748396005
7.09999999999988,129.818284567045,133.717301443369,137.490351356286,140.959116210907,144.372648929069,147.588878605913,150.412352497002,152.966762020911,155.332559608927,157.553555515149,158.87889818286
7.10999999999988,129.445331019386,133.330273335745,137.10693719253,140.590775110498,144.023296203037,147.255854973959,150.087067980236,152.658055888158,155.03173362691,157.28222326296,158.587635436526
7.11999999999988,129.063108153312,132.947229239118,136.717538730073,140.226219930759,143.675618701718,146.918615136098,149.760466956031,152.346462624317,154.727596856068,156.958882822635,158.267463669969
7.12999999999988,128.680576822864,132.567450207938,136.332344538102,139.864540077538,143.327167299212,146.578494110026,149.428683368751,152.029327424999,154.420375337777,156.63535047402,157.950464078722
7.13999999999988,128.302201751273,132.179548327253,135.956738797122,139.497022112963,142.968668398309,146.233685366386,149.091219390484,151.706421932177,154.103883487523,156.363628687717,157.645262722204
7.14999999999988,127.909509809609,131.791452142112,135.57008416383,139.131781120347,142.612856501987,145.888184774892,148.7544199722,151.38289719516,153.76939285824,156.03952181745,157.319876433104
7.15999999999988,127.513304969033,131.412907615413,135.180844095945,138.774881664244,142.266913060236,145.552672584387,148.417207789198,151.044290425625,153.44786799775,155.723422726055,156.993518702345
7.16999999999988,127.120452988485,131.048721439353,134.798553284319,138.430801089922,141.941387096219,145.223383502227,148.092785605582,150.726342420035,153.13667980241,155.417789094938,156.68425745318
7.17999999999988,126.766434924628,130.687070256746,134.424209704091,138.080710884271,141.596505217705,144.900359588239,147.768370026234,150.407744077202,152.819955137939,155.116919863833,156.378939216157
7.18999999999988,126.43797849552,130.350905981027,134.061262787178,137.72610290395,141.251162220079,144.558085808758,147.425345450877,150.066343164716,152.485827071604,154.78857595196,156.044286006736
7.19999999999987,126.134752130203,130.001923659809,133.705764925888,137.354170433605,140.873778592569,144.177233262181,147.049959220981,149.692974824805,152.116616467215,154.389919427152,155.654952014657
7.20999999999987,125.836116666194,129.660376350471,133.356040779519,136.970326757601,140.462246540428,143.760034808741,146.630430110083,149.278536176115,151.702855307464,153.900602545012,155.192461709764
7.21999999999987,125.533145376995,129.32348392605,133.014046940423,136.573189720611,140.03786547938,143.304075504562,146.182633306978,148.817775939578,151.240463309883,153.333262564682,154.665238688004
7.22999999999987,125.217426455067,129.004729115189,132.673512819191,136.161836337703,139.589387918627,142.839778256518,145.695932839465,148.338642200153,150.750333802744,152.718182800311,154.090252541987
7.23999999999987,124.874825061188,128.66400215947,132.316551127368,135.779556217474,139.192297037455,142.430816800177,145.279447776187,147.918812493352,150.324667628998,152.22643772009,153.633527918281
7.24999999999987,124.501267688112,128.258881081961,131.919075136381,135.448482442747,138.899666134024,142.153091587326,145.017739126001,147.65749101726,150.064070630545,152.022194623885,153.416855187394
7.25999999999987,124.10702299239,127.853450345699,131.518066029358,135.084603513149,138.560619090263,141.814108217209,144.689306580122,147.323005100087,149.73125049639,151.781578283192,153.147694733958
7.26999999999987,123.706711653385,127.441911075979,131.109262644499,134.686610854133,138.173924252356,141.413727622041,144.297212573983,146.92258746451,149.331859233341,151.449213669188,152.787298902424
7.27999999999987,123.312584165148,127.029623121853,130.696995306773,134.266575075991,137.748426307365,140.967135327273,143.853485859347,146.472351563318,148.879934461305,151.002228266879,152.323822044891
7.28999999999987,122.930919234774,126.635388158072,130.292795085353,133.844454626841,137.302894897397,140.502784001028,143.377861306452,145.990861438649,148.392472388752,150.462767398728,151.78981454202
7.29999999999987,122.581042635649,126.280184263555,129.916945133714,133.444250444677,136.877225548694,140.056276812513,142.910968169181,145.506033055649,147.898779150421,149.892630718253,151.226333901482
7.30999999999987,122.224781884882,125.941568807412,129.550848861277,133.061716607012,136.460734512627,139.624739630183,142.444782127733,145.027586820036,147.40561777125,149.330717893475,150.670389497586
7.31999999999987,121.85025114052,125.587365732218,129.177394966569,132.682553381114,136.048893189046,139.204943485492,141.989355405244,144.559972677721,146.920413629832,148.816476781737,150.144220460634
7.32999999999987,121.45471253905,125.198321882222,128.788921677263,132.287976751878,135.632451305177,138.778738363518,141.53518995639,144.095938157053,146.43664914552,148.34766092499,149.646835194052
7.33999999999987,121.043126312788,124.774616504373,128.376883333305,131.867993968226,135.201254522293,138.334112822825,141.069612789376,143.620466948547,145.940214641612,147.901502254093,149.163744854462
7.34999999999987,120.628214999166,124.353847370899,127.958423999362,131.439465463509,134.759162785902,137.872774832262,140.584279440754,143.121320309898,145.423503444301,147.418794620649,148.650347786141
7.35999999999987,120.21867952134,123.965353890344,127.552369131173,131.029733286065,134.318063306694,137.408265324383,140.090479128533,142.607193069523,144.894386572358,146.87694364464,148.082672088828
7.36999999999987,119.806105240107,123.563683115742,127.142949458299,130.613764028728,133.874905053262,136.942484952563,139.595657203557,142.092943319499,144.36335688072,146.353967448216,147.51612152236
7.37999999999987,119.401867699478,123.152700863305,126.737310039253,130.188575214745,133.430814426169,136.477263658599,139.101480757907,141.580611538579,143.833066463048,145.845363746411,146.977052530319
7.38999999999987,119.005271246963,122.739200282499,126.33700723165,129.751751805777,132.982677515531,136.011312939164,138.606980039648,141.062854044725,143.296393771805,145.313902035899,146.452136941264
7.39999999999987,118.600593634063,122.321561495633,125.925661826685,129.296255355307,132.522232105691,135.534563968208,138.094191544879,140.53631034657,142.742002959002,144.757316958924,145.904585782029
7.40999999999987,118.144192917101,121.865662316622,125.46128674628,128.794429700888,132.00804430616,134.989987431874,137.520770498572,139.948324589767,142.131796840465,144.140366695323,145.286934025382
7.41999999999987,117.668660725563,121.394199318586,124.972837011062,128.29145947362,131.489637386777,134.437478147468,136.949205484848,139.361133717447,141.521177168416,143.535209281769,144.674905513073
7.42999999999987,117.178562857423,120.918097831778,124.476482796997,127.800763940883,130.979998846337,133.88983377709,136.389687432512,138.783077211919,140.922687377569,142.949929716968,144.062398362399
7.43999999999987,116.676046091111,120.452570498678,123.995344244786,127.331686935278,130.481479384624,133.347604684785,135.834558418633,138.208024599104,140.326309659224,142.383331515648,143.447951948275
7.44999999999986,116.162200843334,119.999906119601,123.539381844981,126.881532410241,129.992561278918,132.810309324169,135.272731099869,137.625050029547,139.7239839167,141.83390889173,142.841408454408
7.45999999999986,115.708498633382,119.562799193816,123.105045121656,126.431348120737,129.513546303306,132.294387548744,134.723599119058,137.043505242052,139.131448435262,141.248224006801,142.237199883026
7.46999999999986,115.354513212071,119.139425104513,122.678778139926,125.956222739432,129.033347422728,131.797339619334,134.184979982094,136.482146594996,138.550067794346,140.564932365339,141.603861467474
7.47999999999986,114.98290812874,118.728645333517,122.257753496236,125.484895425189,128.547736931152,131.289579305659,133.622657244698,135.894552470271,137.943395600469,139.877453878872,140.953746846833
7.48999999999986,114.592934679895,118.318629866615,121.830704008688,125.01823281618,128.063738941738,130.780756285918,133.032404769967,135.304939401836,137.33718789237,139.21481810362,140.306607764324
7.49999999999986,114.185014069867,117.89838612122,121.390299126348,124.558849615554,127.586616233472,130.276443231306,132.470148991675,134.729630034469,136.74890513721,138.60146172148,139.681953887732
7.50999999999986,113.754467809662,117.480879698031,120.949328598708,124.102343910118,127.117019776218,129.751676841839,131.927601669075,134.17219879344,136.181334224619,138.03941065986,139.089403756892
7.51999999999986,113.266005256836,117.0067835699,120.46399989347,123.617819394,126.600744733636,129.197139616692,131.355030939824,133.58281617579,135.58289262189,137.485338408921,138.48679457517
7.52999999999986,112.765080174056,116.521456646415,119.969848856257,123.120951231834,126.07546589469,128.639405298798,130.781686696648,133.002349063439,134.991531810771,136.936426615259,137.899665963317
