"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
76.4600000000031,-217.079360559899,193.822384770215,23.3500029452049
76.470000000003,-217.696930278058,192.945014885398,24.8345113226855
76.480000000003,-218.304904083072,192.059721850321,26.3178331795677
76.490000000003,-218.903251695532,191.166569143264,27.7999071688795
76.500000000003,-219.492146898717,190.265709050741,29.2807340039614
76.510000000003,-220.071934239874,189.357472209162,30.760329887386
76.520000000003,-220.643062668277,188.442025952074,32.2386719710743
76.530000000003,-221.20546310139,187.519895082289,33.7148839747392
76.540000000003,-221.761436954809,186.590077983623,35.1897342955876
76.550000000003,-222.310871907333,185.652852755666,36.6635064716403
76.560000000003,-222.853331838527,184.708385204821,38.1363163519666
76.570000000003,-223.388496244689,183.756714502109,39.6084183642953
76.580000000003,-223.915912289049,182.797894887263,41.0800661360178
76.590000000003,-224.435164005232,181.832012816568,42.551467992652
76.600000000003,-224.945921858986,180.859103708197,44.0227992385356
76.610000000003,-225.402722474247,179.87089856237,45.4770252818037
76.620000000003,-225.876602717696,178.881627227057,46.9370709066108
76.630000000003,-226.356513465778,177.888129726356,48.4017251010382
76.640000000003,-226.828534652544,176.887476460902,49.8657480603959
76.650000000003,-227.291809303558,175.879484304936,51.3284180712781
76.660000000003,-227.745455334105,174.864042804357,52.789131897446
76.670000000003,-228.188803476023,173.841140806147,54.2477795060059
76.680000000003,-228.621434992443,172.810911294086,55.7042096157423
76.690000000003,-229.043167748293,171.774379838507,57.1585616765957
76.700000000003,-229.45393187432,170.730349062603,58.6094824688688
76.710000000003,-229.85500762185,169.679191432481,60.0573035663188
76.720000000003,-230.247146868147,168.621414737136,61.5024126885022
76.7300000000029,-230.630783894448,167.557110195088,62.9450869218062
76.7400000000029,-231.006129622918,166.486196250665,64.385414180762
76.7500000000029,-231.373236214005,165.40844690931,65.8235845146682
76.7600000000029,-231.732070495021,164.323957947859,67.2596788304725
76.7700000000029,-232.085146179005,163.23209904332,68.6920469678498
76.7800000000029,-232.428187147085,162.133209623128,70.1226319181847
76.7900000000029,-232.760474183966,161.02736689349,71.5507655810465
76.8000000000029,-233.082689694571,159.914593870136,72.9756783047819
76.8100000000029,-233.394755665024,158.795712933418,74.3973587336522
76.8200000000029,-233.696914304125,157.671060346937,75.8159085948118
76.8300000000029,-233.989525815648,156.540563028768,77.2315213638686
76.8400000000029,-234.272927671618,155.404455651009,78.6443735158959
76.8500000000029,-234.548415409462,154.26271142488,80.0540222298363
76.8600000000029,-234.815656220476,153.11439312925,81.4604062725599
76.8700000000029,-235.074897621446,151.959436134713,82.8637323923909
76.8800000000029,-235.326228695198,150.797799549895,84.264122312222
76.8900000000029,-235.569312579825,149.629373714877,85.6618262375319
76.9000000000029,-235.803892959773,148.454268722492,87.0570833107154
76.9100000000029,-236.02969437726,147.272545553434,88.450110364191
76.9200000000029,-236.246598227583,146.084379028322,89.8410727819931
76.9300000000029,-236.415766346988,144.898679758904,91.2172286675061
76.9400000000029,-236.594067466167,143.706082287487,92.5953407715729
76.9500000000029,-236.778828325274,142.50458785352,93.9740850029069
