Time [ms],Moving1.Torque [NewtonMeter] - a='15mm',Moving1.Torque [NewtonMeter] - a='20mm',Moving1.Torque [NewtonMeter] - a='25mm',Moving1.Torque [NewtonMeter] - a='30mm',Moving1.Torque [NewtonMeter] - a='35mm',Moving1.Torque [NewtonMeter] - a='40mm',Moving1.Torque [NewtonMeter] - a='45mm',Moving1.Torque [NewtonMeter] - a='50mm',Moving1.Torque [NewtonMeter] - a='55mm',Moving1.Torque [NewtonMeter] - a='60mm',Moving1.Torque [NewtonMeter] - a='65mm',Moving1.Torque [NewtonMeter] - a='70mm',Moving1.Torque [NewtonMeter] - a='75mm'
0.96,32.8123254,33.78064155,34.87926569,36.32865341,37.8177314,39.51999569,41.72002165,40.72017779,43.58033948,47.60384845,54.04533851,60.69796996,72.82169209
0.97,33.56095931,34.51934834,35.62815948,37.06591666,38.5318855,40.25489773,42.45046517,41.314502,44.18449095,48.21475891,54.79557194,61.48411805,73.69502231
0.98,34.30168809,35.24402164,36.35600177,37.78145196,39.2296324,40.96502125,43.15400541,41.90682173,44.7896249,48.82026765,55.52526581,62.26606189,74.5544174
0.99,35.00129128,35.93377289,37.05004762,38.47248759,39.90636788,41.65111664,43.84035069,42.49659639,45.39221553,49.42868255,56.24071547,63.05344278,75.40251597
1,35.6567359,36.58922941,37.71408898,39.1482298,40.56451729,42.33274631,44.52401452,43.09065028,45.999453,50.05988217,56.95941923,63.82293767,76.25057148
1.01,36.31476219,37.24664395,38.37805739,39.8196058,41.21525588,43.00551095,45.1965936,43.69903465,46.62355823,50.69668876,57.66708149,64.60137506,77.09353014
1.02,36.98324828,37.9131857,39.04608732,40.49211822,41.86673072,43.67193085,45.86464816,44.31508156,47.26063198,51.33302072,58.36601653,65.38776664,77.93683141
1.03,37.66018226,38.58758281,39.71562426,41.1610946,42.52955177,44.3387872,46.53218378,44.93300935,47.89930981,51.96734773,59.06246029,66.17869775,78.78364805
1.04,38.33468109,39.25996161,40.37766873,41.81906998,43.18855997,44.9994419,47.19568002,45.5468589,48.53766409,52.60440654,59.76427385,66.96680606,79.63305943
1.05,38.91740906,39.85092718,40.97463348,42.42361296,43.79581332,45.62049469,47.82395379,46.15912944,49.17689698,53.2592927,60.45041704,67.75217395,80.49083073
1.06,39.44872772,40.39519725,41.52770921,42.98983472,44.36494201,46.20782594,48.42398982,46.78143049,49.82626947,53.93056496,61.1342592,68.52247153,81.34593221
1.07,39.94077531,40.90052203,42.04231035,43.52058399,44.9020073,46.7607288,48.99212869,47.41216666,50.48621091,54.62524915,61.80299584,69.2727217,82.19340068
1.08,40.39046164,41.36186531,42.51428539,44.01056096,45.400833,47.28047645,49.52782897,48.05248506,51.15641913,55.34746086,62.4704389,70.00691046,83.03066486
1.09,40.79260997,41.77504667,42.93919679,44.45897855,45.85629614,47.78457869,50.04890418,48.70404149,51.83625358,56.09761978,63.15306404,70.73587546,83.85638523
1.1,41.35084919,42.33191803,43.49708596,45.02061709,46.41169784,48.36721,50.62989612,49.40129838,52.55144259,56.85008084,63.85806029,71.50609268,84.71955927
1.11,42.21293142,43.17291465,44.31386295,45.79794082,47.16630317,49.0654012,51.30483836,50.12950696,53.28841426,57.57119061,64.55838147,72.32386511,85.6373473
1.12,42.98481346,43.92464139,45.04120508,46.49662649,47.84643047,49.71998807,51.94239363,50.8222178,53.99905195,58.28752284,65.24232019,73.11517917,86.51743402
1.13,43.67808839,44.6010734,45.69594151,47.12349188,48.46089663,50.32587776,52.53310673,51.50619833,54.70233348,59.01563262,65.91748551,73.88448998,87.37619794
1.14,44.31061208,45.21882891,46.29698369,47.6975893,49.02777446,50.89038391,53.09219739,52.19443132,55.41704553,59.76743719,66.58538633,74.63512786,88.22834047
1.15,44.90272417,45.79486681,46.86190915,48.24158762,49.56991639,51.42875132,53.63261037,52.90434918,56.15307878,60.53965543,67.25771905,75.37936407,89.08421683
1.16,45.44904748,46.32820242,47.39558431,48.76882932,50.09039488,51.94808095,54.16191195,53.63973805,56.92053629,61.34241115,67.94895726,76.14255653,89.96009091
1.17,45.98638093,46.85538597,47.92420325,49.30182412,50.61787143,52.47373175,54.69904757,54.39266191,57.70787735,62.16266884,68.66200706,76.91866444,90.84864364
1.18,46.51568434,47.38065759,48.4507436,49.83837955,51.15329987,53.00813564,55.24308185,55.15840535,58.51687354,62.99160826,69.38385195,77.70324548,91.7502385
1.19,47.03112465,47.89889849,48.97350104,50.36773162,51.68968093,53.54015844,55.78732233,55.92562575,59.32035629,63.82862667,70.09982666,78.50929003,92.6610172
1.2,47.52865795,48.40528436,49.48417468,50.8851532,52.22061034,54.0639443,56.32394855,56.691184,60.11205137,64.67018747,70.80412699,79.29762319,93.57332152
1.21,47.99677306,48.88264832,49.97566704,51.39275665,52.73731465,54.58318503,56.85675318,57.45887991,60.91098927,65.51313421,71.50385093,80.08192006,94.47343572
1.22,48.43528628,49.33745814,50.45493418,51.90225337,53.24845779,55.10683112,57.39634314,58.25492715,61.73894932,66.35515377,72.20942279,80.87379595,95.36645912
1.23,48.8655799,49.78720046,50.92749883,52.40807266,53.76695024,55.63167414,57.93992424,59.04095024,62.55513345,67.20695131,72.91502805,81.66774882,96.26965976
1.24,49.28363102,50.22841154,51.3923978,52.90564716,54.28949299,56.15851672,58.48743818,59.81063642,63.35401433,68.07436425,73.61704171,82.45888669,97.18174342
1.25,49.6823944,50.6545085,51.84199097,53.39119665,54.80974178,56.68820909,59.03820054,60.55924091,64.13363911,68.95030171,74.32925847,83.24370833,98.09127758
1.26,50.05937374,51.06356888,52.27961,53.86412745,55.31973053,57.21501637,59.58680259,61.29535502,64.90727599,69.8259256,75.04880242,84.02797456,98.98746076
1.27,50.42642171,51.46217141,52.71067484,54.3285789,55.80856151,57.71941599,60.13101997,62.03105727,65.68160157,70.67785014,75.75548002,84.80827214,99.86618521
